Indicator Name,Indicator Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net migration,SM.POP.NETM,Colombia,COL,-31116,-27618,-24379,-33007,-25907,-41348,-39142,-49575,-63246,-46902,-34185,-46273,-55913,-64686,-67516,-41064,79978,415618,494364,395803,229437,211978,-167924,-175051
Net migration,SM.POP.NETM,Comoros,COM,-2971,-2551,-2502,-3084,-3103,-2717,-2681,-2611,-2550,-2420,-2294,-2146,-1970,-1773,-1569,-1349,-1136,-2922,-2919,-2917,-1772,-1772,-2000,-2000
Net migration,SM.POP.NETM,Cabo Verde,CPV,-2722,-3110,-3372,-3571,-3662,-3673,-3456,-3443,-3295,-3429,-1914,-1744,-1625,-1585,-1534,-1474,-1408,-1354,-1323,-1296,-1274,-1274,-1256,-1227
Net migration,SM.POP.NETM,Costa Rica,CRI,13590,10960,8929,8010,7458,7022,6651,6273,5833,5283,4728,4258,3983,3950,3996,4065,4150,4196,4198,4154,2084,2084,3850,3750
Net migration,SM.POP.NETM,Cuba,CUB,-24942,-22329,-23874,-19525,-13532,-11973,-9462,-14434,-24636,-30328,-27718,-28752,-17531,-15301,-14543,-14372,-14454,-14498,-14219,-13686,-7068,-7068,-6000,-6000
Net migration,SM.POP.NETM,Curacao,CUW,-2632,-966,556,1029,1079,1460,1535,1588,1598,1570,1499,1513,1470,1281,1065,844,647,535,25591,-9592,997,502,515,515
Net migration,SM.POP.NETM,Cayman Islands,CYM,1020,1038,1075,1078,1036,985,997,984,933,918,895,880,897,967,980,1079,1077,1106,1054,973,766,276,400,400
Net migration,SM.POP.NETM,Cyprus,CYP,11577,12052,13449,13326,13126,13237,12664,12912,12489,12173,12456,6134,4789,4426,4467,4655,4878,5014,4977,4948,2999,1995,5000,5000
Net migration,SM.POP.NETM,Czechia,CZE,4195,21486,26188,25694,25947,24895,25831,27262,29811,31317,34805,16409,10308,-1553,5009,5297,-300,2809,3193,4030,3621,3621,22011,22011
Net migration,SM.POP.NETM,Germany,DEU,60905,48500,45985,54381,73107,102694,145046,180746,211709,240968,267047,293051,317082,342555,369027,397921,432017,430803,392587,360560,334055,312735,154592,155751
Net migration,SM.POP.NETM,Djibouti,DJI,5627,7631,5022,-5634,-5247,-3779,2723,1253,2148,2770,2129,2090,2104,2033,1900,1723,1623,1535,1435,1322,744,742,900,900
Net migration,SM.POP.NETM,Dominica,DMA,-994,-603,-278,-259,-304,-314,-390,-332,-347,-228,-243,0,158,-445,1445,-393,179,187,194,326,100,57,-40,-40
Net migration,SM.POP.NETM,Denmark,DNK,12536,11934,11518,11337,11366,11693,12217,13067,14111,15469,17037,18519,19732,20779,21670,22368,22859,23188,23337,23305,23076,22746,19999,19999
Net migration,SM.POP.NETM,Dominican Republic,DOM,-30231,-30371,-30477,-30549,-30709,-30883,-30977,-30898,-30605,-30468,-30489,-30572,-30615,-30563,-30449,-30310,-30181,-30055,-29944,-29830,-14966,-14966,-29294,-29099
Net migration,SM.POP.NETM,Algeria,DZA,-18994,-25798,-36255,-39330,-38621,-111256,-32745,-37062,-33931,-33857,-33071,-34829,-35119,-35412,-36088,-36371,-36227,-36448,-36227,-36386,-18797,-18797,-9999,-9999
Net migration,SM.POP.NETM,Ecuador,ECU,-41899,-34968,-28089,-22605,-20921,-16816,-12621,-9625,-8776,-8487,-8315,-8135,-7832,-6151,2288,14740,27063,49359,153372,71801,35894,35894,-20206,-21525
Net migration,SM.POP.NETM,"Egypt, Arab Rep.",EGY,-2815,927,73253,37743,31302,-18144,-28511,-32607,-46339,-55856,-18831,158511,-2118,163449,5961,-79150,4132,-23281,-61050,-59715,4476,-32370,-29998,-29998
Net migration,SM.POP.NETM,Eritrea,ERI,-33196,41755,-6571,76703,-6376,-12841,-50036,-18156,17859,-24355,-13369,-32992,-43335,-34025,-75830,-53049,-55530,-38636,-21435,-29849,-14987,-14988,-17152,-15297
Net migration,SM.POP.NETM,Spain,ESP,175213,185594,741349,662840,661105,632974,658689,774489,430778,130589,62782,57170,-144619,-254292,-94869,-871,89021,167475,339064,458942,208791,275022,39998,39998
Net migration,SM.POP.NETM,Estonia,EST,-3230,-3422,-2984,-3780,-3768,-5242,-5403,-2862,-1973,-1939,-3759,-3929,-3646,-2650,-562,4308,1164,5329,7229,5410,2995,2995,-1000,-1000
Net migration,SM.POP.NETM,Ethiopia,ETH,-49892,-19067,-12921,-13744,-25428,-44423,-30511,-389,-20776,16319,80213,116793,119512,80953,103119,62784,115812,71769,9309,-10803,38867,-1391,-11999,-11999
Net migration,SM.POP.NETM,Finland,FIN,2428,6395,5250,6039,6872,9406,10801,13940,15579,14757,14053,16712,17620,18026,15950,12433,17210,13307,11646,15558,17482,14928,13999,13999
Net migration,SM.POP.NETM,Fiji,FJI,-6081,-6207,-6349,-6513,-6639,-6729,-7016,-8101,-9625,-10445,-10666,-10836,-10945,-11000,-11023,-11047,-11139,-11605,-11738,-11865,-6003,-6003,-3557,-3289
Net migration,SM.POP.NETM,France,FRA,102857,122247,137513,148696,154947,155943,151814,142170,128627,108940,86355,65188,49080,36552,26585,18807,14729,13175,14391,17403,18335,20614,66601,67761
Net migration,SM.POP.NETM,Faroe Islands,FRO,332,396,369,317,390,-151,-187,-156,-162,-159,-116,-109,-149,-118,-111,542,537,622,653,580,498,0,0,0
Net migration,SM.POP.NETM,"Micronesia, Fed. Sts.",FSM,-2688,-2733,-2816,-2974,-3038,-3055,-3133,-3123,-3069,-2971,-1799,-1719,-1633,-1561,-1482,-1415,-1348,-1283,-1283,-1283,-635,-635,-600,-600
Net migration,SM.POP.NETM,Gabon,GAB,3086,3802,4579,5435,6827,8555,10386,12047,13448,15277,17266,18969,19971,19581,16566,12041,7395,4019,2893,2230,1514,1516,1000,1000
Net migration,SM.POP.NETM,United Kingdom,GBR,161157,186701,210510,230387,247447,261300,272651,279808,283762,284800,281588,277521,272601,268067,261389,254218,246940,239014,230577,221179,211063,202027,165790,165790
Net migration,SM.POP.NETM,Georgia,GEO,-135044,-110972,-58530,-31080,-30611,-31214,-31733,-32140,-32462,-32758,-24663,-25975,-26510,-27185,-16045,-13317,-10591,-7886,-5174,-5414,-2734,-2734,-9999,-9999
Net migration,SM.POP.NETM,Ghana,GHA,-4208,36057,40580,28764,34434,21273,28539,32815,30509,22415,-3724,-733,1008,-2388,-6316,-13308,7014,-4914,-19374,-21860,-297,-11253,-9999,-9999
Net migration,SM.POP.NETM,Gibraltar,GIB,-147,-215,312,318,319,328,323,333,300,299,325,270,298,-101,-101,-101,-101,-58,-58,-58,-58,-58,-24,-24
Net migration,SM.POP.NETM,Guinea,GIN,-77558,-155276,-33495,-36982,-56110,-71104,-48145,-34349,-32957,-34050,-31352,-29092,-32842,-29151,-22750,-15127,-14196,-13726,-9195,-3243,-4364,-4367,-4000,-4000
Net migration,SM.POP.NETM,"Gambia, The",GMB,-3676,-3876,-4068,-3717,-3632,-3204,-2667,-2325,-2203,-2267,-2464,-2363,-2342,-2486,-2797,-3224,-3477,-3694,-3936,-4186,-1960,-1960,-3000,-3000
Net migration,SM.POP.NETM,Guinea-Bissau,GNB,-6971,-6239,-5712,-5487,-5144,-4662,-4142,-3676,-3313,-2821,-2257,-1760,-1442,-1395,-1393,-1393,-1392,-1398,-1396,-1395,-1394,-1395,-1400,-1400
Net migration,SM.POP.NETM,Equatorial Guinea,GNQ,15352,15084,14757,14544,14733,15549,16885,18437,19930,21233,22033,17606,17859,18105,18051,17694,17109,16395,15583,14695,0,6486,4000,4000
Net migration,SM.POP.NETM,Greece,GRC,35798,24607,15717,7095,-1102,-7559,-13700,-18697,-21969,-23831,-25002,-26257,-30036,-31535,-30228,-29315,-27234,-25061,-23600,-21581,-17853,-14806,5000,5000
Net migration,SM.POP.NETM,Grenada,GRD,-586,-736,-924,-245,-306,-369,-417,-447,-455,-459,-453,-292,-204,-190,-190,-190,-190,-190,-190,-190,0,-85,-200,-200
Net migration,SM.POP.NETM,Greenland,GRL,-264,-308,-342,-337,-349,-505,-514,-534,-563,-573,-443,-450,-457,-490,-529,-348,-374,-383,-357,-338,-150,-62,-100,-100
Net migration,SM.POP.NETM,Guatemala,GTM,-66153,-59249,-55245,-54666,-47399,-49600,-42071,-40617,-42607,-43051,-36072,-33204,-32572,-35666,-40409,-48162,-39266,-48049,-56884,-58095,-23142,-29118,-9128,-9110
Net migration,SM.POP.NETM,Guam,GUM,-1566,-1898,-1754,-2044,-2368,-2333,-2669,-2874,-2933,-2933,-1850,-1852,-1850,-1852,-1852,-1852,-1852,-1852,-1850,-1852,-244,-244,-500,-500
Net migration,SM.POP.NETM,Guyana,GUY,-13176,-13060,-12758,-12523,-12657,-13000,-13328,-13629,-13886,-14130,-14327,-14512,-7152,-6912,-6715,-6524,-6311,-6110,30080,-24678,802,-4316,-3900,-3900
Net migration,SM.POP.NETM,"Hong Kong SAR, China",HKG,60719,32287,21654,18790,10103,75,12583,31280,26820,20910,10584,25348,36188,24760,22372,13061,0,0,0,0,0,0,19999,19999
Net migration,SM.POP.NETM,Honduras,HND,-10762,-9749,-8815,-7986,-7082,-6187,-5451,-5039,-5039,-5196,-5418,-5664,-5896,-6094,-6302,-6512,-6685,-6782,-6768,-6550,-6199,-5779,-5374,-5034
Net migration,SM.POP.NETM,Croatia,HRV,-50791,-17581,-12562,-8641,-5673,-3834,-2720,-2207,-2613,-3675,-5624,-8241,-10440,-11833,-12849,-13408,-13569,-13654,-13171,-12480,-11592,-10402,-2000,-2000
Net migration,SM.POP.NETM,Haiti,HTI,-27098,-26837,-26642,-26534,-26422,-26304,-26641,-27017,-27644,-27949,-28437,-29049,-29679,-30347,-31416,-32698,-33902,-34766,-35007,-34635,-33872,-32977,-32248,-31811
Net migration,SM.POP.NETM,Hungary,HUN,15478,9927,2412,14182,16803,16615,20926,14398,16664,19182,11394,889,16048,5296,11571,14166,-982,18044,31976,33559,9042,19870,616038,-156677
Net migration,SM.POP.NETM,Indonesia,IDN,-42697,-64261,-83985,-97733,-102669,-102380,-101108,-103121,-108492,-98211,-77010,-54051,-38499,-36670,-37324,-37991,-38653,-39282,-39878,-40567,-24999,-14992,-49997,-49997
Net migration,SM.POP.NETM,Isle of Man,IMN,978,847,779,784,731,684,765,780,748,676,663,7,-244,-276,-276,-231,107,275,272,239,235,517,340,340
Net migration,SM.POP.NETM,India,IND,-149966,-177306,-208070,-255516,-214351,-550186,-678231,-769184,-846785,-803437,-380087,-244114,-180991,-236387,-310694,-475094,68119,-219656,-561563,-593495,-34772,-301970,-487303,-486136
Net migration,SM.POP.NETM,Ireland,IRL,31230,39480,34478,32763,49526,64192,94996,77427,19349,-18556,-27110,-26351,-22002,-12015,714,13130,18978,29200,33647,29113,15320,15320,9999,9999
Net migration,SM.POP.NETM,"Iran, Islamic Rep.",IRN,394594,393336,-568950,370945,369535,323987,252053,139826,90815,99224,127703,-150029,19635,23351,653255,628310,23759,7709,-29981,-34571,-156669,28080,-39998,-39998
